,0,1,2,3,4
2005-01-31,0.7466618361344503,0.4811936664247918,0.7995418858667386,0.3305606179810986,0.8305381187579643
2005-02-28,0.7940543346564772,0.5736787677677039,0.24193684796889126,0.9724906048685789,0.8664405482531861
2005-03-31,0.3177551726464649,0.6464111517976127,0.6167178923173003,0.9571467560134123,0.9246135891242506
2005-04-30,0.15641188247172677,0.5209559415329879,0.7618629861956865,0.9326361585149305,0.9629164955012436
2005-05-31,0.10616201776791123,0.23788451525424148,0.766813785454162,0.2759834735028073,0.918900049215048
2005-06-30,0.79799931573559,0.547748471896923,0.810129908590461,0.9671103749133091,0.4424007901670346
2005-07-31,0.07672039764164507,0.9225958366323214,0.20159836413637067,0.8955319292646574,0.6586021052144866
2005-08-31,0.34540106192276165,0.42663276180993126,0.5573249603344731,0.8300311477284193,0.5189562189328679
2005-09-30,0.0052511067682050605,0.8006739288459568,0.14894814611174312,0.25888520339842636,0.57308245597033
2005-10-31,0.749285887037454,0.8626675867787773,0.07006499477802275,0.8089322517124317,0.37578400755704244
2005-11-30,0.9184058038780035,0.7577951485120727,0.803996473498357,0.4621262049618584,0.06879416904640678
2005-12-31,0.46919614819460687,0.6226294643223158,0.35657127901017405,0.48465857760794806,0.24387387355917045
2006-01-31,0.8157712639162671,0.8231704283774623,0.9193821922449651,0.9089761969438777,0.6670819045284315
2006-02-28,0.6251433234088448,0.20374269378343834,0.24150428903494459,0.659275618074525,0.22171846351567193
2006-03-31,0.9057047419896797,0.5699644134903418,0.0518740824881998,0.8201529087883199,0.7047427643332538
2006-04-30,0.7310617230839574,0.8860437347066877,0.06708952584611882,0.4128770078368542,0.17823096225949298
2006-05-31,0.9288079630036994,0.9364175593026867,0.518116409284733,0.8185661608336233,0.07929735533339177
2006-06-30,0.24689197993515355,0.7833984642101185,2.9675473201207225e-05,0.28020778643934663,0.29098321033605246
2006-07-31,0.2604264425313132,0.3306323934613896,0.7599618768525757,0.25477309193442976,0.36660785981458277
2006-08-31,0.07270613837759932,0.22292921169081814,0.6311269740222313,0.315071992186741,0.15351054642158313
2006-09-30,0.7339942117838149,0.06828155326033303,0.7588235180913059,0.27265110646734914,0.3346906202582748
2006-10-31,0.7832052365373988,0.8770450038962138,0.3120349221731439,0.3225200720187906,0.3547192714534726
2006-11-30,0.2386792500575733,0.9015248172002259,0.272933299760282,0.16480688046210523,0.8924680532868897
2006-12-31,0.09451250991226512,0.9395162092023658,0.7357796182140997,0.561120669812946,0.06423820255374235
2007-01-31,0.5561702181782193,0.009784864914803126,0.051352564932398925,0.8122159253473579,0.312980641835805
2007-02-28,0.6754566258118531,0.21220455350079892,0.38425708080458176,0.8576836665543838,0.5645627336254837
2007-03-31,0.8636292117160113,0.8335602083116485,0.5147909266460237,0.785898024538035,0.5653688583754173
2007-04-30,0.4024120343342792,0.706908277933587,0.5046684669147907,0.767851653285835,0.5068794293448042
2007-05-31,0.14701550144565734,0.4569063955983548,0.9989473856427902,0.44243173864185115,0.5346530110039899
2007-06-30,0.5677688053122621,0.7691723510212473,0.1899825991711478,0.9049979012761937,0.9604427441415838
2007-07-31,0.21439527092651778,0.5122040613391904,0.7790006357613032,0.5897532230480709,0.19371989229307074
2007-08-31,0.4658818191706535,0.7222700032486519,0.028744021889389515,0.5639197057070999,0.9814497236505647
2007-09-30,0.8579850687431668,0.5887586630477616,0.4566642991263301,0.5095432547950477,0.06752985639976317
2007-10-31,0.9135607189938143,0.10989363992650825,0.9200176517948556,0.4784279715387817,0.007819366466677469
2007-11-30,0.13349288237166979,0.6515863081184475,0.3678040861267855,0.598929067390497,0.6349350372085967
2007-12-31,0.042448121970078745,0.44244523421111026,0.7433733099217437,0.21477863690373744,0.8098819180539004
2008-01-31,0.61760664760651,0.5339757260418504,0.9393910138632019,0.024178315793877747,0.46048695802167694
2008-02-29,0.6133308286406021,0.541438603970432,0.10144192675982244,0.5163831168562061,0.16856344962757475
2008-03-31,0.20569248879601365,0.7336760196019961,0.1547315363406897,0.8437265181104817,0.8304121026127331
2008-04-30,0.9582073775836982,0.6258444529041942,0.5610052458580184,0.26142220042946407,0.8162938515890105
2008-05-31,0.635391908602095,0.07281932606187036,0.4374822317149728,0.5142358466852511,0.8316508267611911
2008-06-30,0.29821233597631225,0.6162077664927318,0.13478037553354294,0.7484420196950262,0.42430629108261264
2008-07-31,0.8992970985718898,0.5766755131709462,0.11771312673885936,0.8942238404114194,0.2114409795924348
2008-08-31,0.005604569717509222,0.25107449572572993,0.24416593145569354,0.7751472525984346,0.928003274593151
2008-09-30,0.9902522885055473,0.7969257926405265,0.3616061799979844,0.8779469685161727,0.9370394727413228
2008-10-31,0.09659737705508031,0.8764037804620468,0.38739953464143784,0.9328441832187191,0.45816553560296447
2008-11-30,0.4738296488668322,0.740826366711335,0.8268592532200107,0.38031832165032786,0.19803064807235038
2008-12-31,0.7263535192378908,0.7164825777065248,0.10081591212809304,0.12373522294459793,0.8899782201986759
2009-01-31,0.2931487297858312,0.20710632973210075,0.873484870781312,0.5602354782075852,0.41527217012376416
2009-02-28,0.2867937557014275,0.15221401331426976,0.1458535236591766,0.35579751855691544,0.27613448405503627
